date,category,income,expense
2024-01-01,Food,0.0,200.0
2024-01-03,Transport,0.0,90.0
2024-01-05,Entertainment,0.0,120.0
2024-01-10,Salary,3000.0,0.0
2024-02-02,Food,0.0,240.0
2024-02-06,Transport,0.0,110.0
2024-02-12,Entertainment,0.0,160.0
2024-02-15,Salary,3200.0,0.0
2024-03-01,Food,0.0,210.0
2024-03-04,Transport,0.0,130.0
2024-03-08,Entertainment,0.0,180.0
2024-03-15,Salary,3100.0,0.0
2024-04-03,Food,0.0,260.0
2024-04-06,Transport,0.0,140.0
2024-04-12,Entertainment,0.0,200.0
2024-04-15,Salary,3300.0,0.0
2024-05-01,Food,0.0,220.0
2024-05-05,Transport,0.0,120.0
2024-05-10,Entertainment,0.0,170.0
2024-05-15,Salary,3400.0,0.0
2024-06-01,Food,0.0,250.0
2024-06-06,Transport,0.0,130.0
2024-06-12,Entertainment,0.0,190.0
2024-06-15,Salary,3500.0,0.0
2026-05-06,Salary,135.0,12.0
2026-05-06,Salary,1354.0,1284.0
